,canton,population,birth,death,migration_international,migration_national,year,Total,0,01,02,03,08,1,11,12,13,14,15,16,18,2,21,22,23,25,26,27,28,29,3,31,32,33,34,35,38,4,41,42,43,48,49,5,51,52,53,54,55,56,57,58,59,6,61,62,63,64,68,7,71,72,73,74,75,76,77,78,79,8,81,82,83,84,85,86,87,88,89,9,91,92,93,94,95,96,97,99
9,fr,206674.0,3077.0,1853.0,2299.0,572.0,1991,760875.17206,8342.39482,12.49395,8329.90087,,,28788.39165,1629.88115,23.9219,,5082.8177,6033.0832,16018.6877,,12402.73785,10069.5551,1660.5951,295.10865,143.971,55.452,178.056,,,4395.3705,944.5416,279.4499,60.60945,3056.69275,54.0768,,82135.57785,80910.142,182.72055,1036.8205,,5.8948,21946.56645,652.5088,,15799.97855,119.4063,210.72395,16.0,5147.93165,,0.0172,10247.3971,10056.3721,11.4,179.625,,,92114.18195,15930.2576,65793.96445,5730.02455,2007.7634,25.01875,,2122.7406,,504.4126,20013.72015,538.6862,16742.15895,,,195.0143,205.3467,712.96385,,1619.55015,480488.83374,435191.39765,,42.6,,11757.227,33497.60909,,
10,so,229086.0,2809.0,2198.0,2004.0,899.0,1991,1066153.7451,16726.84365,64.6022,16662.24145,,,27687.35885,2020.61,1.2,2225.75815,4687.71225,10293.0805,8458.99795,,93469.8559,86072.6037,5882.01425,1496.18795,,,,,19.05,5894.8289,206.54275,3221.82775,,2466.4584,,,155046.5284,148397.10045,488.1041,5798.26985,,363.054,47820.61959,520.92695,2461.9737,10291.7331,173.95625,2039.02375,123.361,32209.64484,,,26959.5829,26646.2671,313.3158,,,,61774.9956,174.71115,40608.7401,10880.7618,1375.36285,17.45,,1295.6409,,7422.3288,27202.3547,1059.68085,16158.8606,2.9448,13.91,12.26475,1972.28525,7470.9509,,511.45755,603570.77661,546026.65445,,20469.65555,,270.841,36803.62561,,
11,bl,193828.0,1964.0,2636.0,2626.0,-175.0,1991,716624.79203,11515.25684,5e-05,11515.25679,,,15341.81577,636.90085,,,2986.2278,7648.59015,4070.09697,,60630.14131,59242.46311,1326.5767,,,,,,61.1015,14352.5978,,224.06465,9812.5761,4179.3932,136.56385,,1827.08586,,673.92196,1153.1639,,,24180.04557,,,415.7221,271.20215,315.585,2.29065,23175.24567,,,11793.98905,11696.02705,67.962,30.0,,,87796.0346,38323.99115,39294.3134,5766.03385,,,,3132.5546,,1279.1416,11135.50975,276.88915,10410.62075,,,60.1668,,337.75855,,50.0745,478052.31548,361788.21553,,42910.056,,34485.02135,38869.0226,,
12,bs,231303.0,2500.0,1792.0,956.0,-634.0,1991,65609.76259,1237.2844,,1237.2844,,,113.6973,,,,113.6973,,,,295.81785,291.69785,,,,,4.12,,,1810.2456,78.46125,53.2745,1311.0704,367.43945,,,13144.48218,13144.48218,,,,,2909.18888,,,780.535,8.154,2.03085,,2118.46903,,,662.4726,596.6461,65.8265,,,,484.23593,0.966,75.0338,141.52915,,,,266.70698,,,2026.93925,17.4903,142.5821,14.375,,,,1829.01185,,23.48,42925.3986,39224.04025,,,,,3701.35835,,
13,sh,71677.0,856.0,718.0,614.0,28.0,1991,271165.57905,7906.65474,503.04579,7403.60895,,,9019.05874,1719.37129,16.18765,,2366.27305,2468.189,2449.03775,,8138.76265,2390.76385,5741.63015,,,,3.465,,2.90365,4911.1134,751.06645,2251.6376,61.338,1815.97965,31.0917,,1185.33785,,17.5485,1160.85885,,6.9305,37728.7175,,25.3572,29323.2833,529.8333,242.4056,149.725,7458.1131,,,9103.81655,9100.72855,3.088,,,,12872.60155,53.9287,6351.5796,5595.49915,315.64975,6.0783,,400.43005,,149.436,11472.35148,328.05735,6161.37898,506.5541,,,888.4181,2930.0685,,657.87445,168827.16459,156053.60365,1.82235,1326.278,,692.74465,10752.71594,,
14,ar,51553.0,736.0,559.0,612.0,95.0,1991,234362.615,2221.987,1.826,2220.161,,,8091.236,52.225,,,3583.328,2873.025,1582.658,,14004.486,13645.541,327.493,1.53,,,,,29.922,1835.571,832.438,35.205,,961.559,6.369,,45552.831,45510.413,15.124,19.548,,7.746,20255.699,,,14308.366,453.196,,,5494.137,,,2428.582,2415.245,13.337,,,,19808.344,4382.48,12980.392,1598.104,96.698,,,686.797,,63.873,3535.529,168.388,1880.206,61.489,,,29.117,1393.987,,2.342,116628.35,98932.664,,4621.97,,10115.69,2958.026,,
15,ai,14108.0,245.0,154.0,116.0,-64.0,1991,34994.864,433.45,7.978,425.472,,,1612.252,26.157,0.913,,359.397,761.072,464.713,,7182.108,6718.446,192.794,,270.868,,,,,173.259,,89.43,,83.829,,,79.989,79.989,,,,,470.233,,,414.763,,0.3,0.1,55.07,,,1258.06,1248.723,9.337,,,,571.153,35.061,437.549,91.47,,,,,,7.073,377.718,11.242,0.809,,,,,364.794,,0.873,22836.642,21740.046,,149.0,,106.319,841.277,,
16,sg,421176.0,6129.0,3763.0,4321.0,-215.0,1991,1891359.9058,51256.95965,515.34075,50741.6189,,,87322.26162,11874.5004,379.6425,284.574,35217.11661,24382.3522,15184.07591,,173022.72466,129248.137,1700.8884,38587.62876,943.80695,2035.635,,,506.62855,15398.4539,417.0578,1790.98315,377.7526,12812.66035,,,139287.77572,133869.49987,362.71375,5021.3654,,34.1967,108028.39945,51.7021,,73674.41966,1007.49345,878.281,473.91165,31942.59159,,,53696.0423,51436.1385,1501.2804,758.6234,,,113913.66216,869.55365,82097.8104,23950.57301,2159.77085,44.73945,,2843.50535,,1947.70945,140091.83603,77896.91555,27554.34432,107.1327,37.1543,84.35735,550.06,28521.0572,,5340.81461,1009341.79031,740550.0,,36531.05665,,145790.89835,86469.83531,,
17,gr,173523.0,2345.0,1596.0,1940.0,-24.0,1991,1001655.30283,19724.85349,55.216,19669.63749,,,37118.86886,2925.39924,420.24125,,18458.501,6047.28282,9267.44455,,70504.8866,60104.23595,664.51465,9730.28335,,,5.85265,,,8626.17955,23.8625,1309.32415,35.8155,7257.1774,,,181868.43074,179431.57609,479.72755,1825.2521,,131.875,20779.3097,142.1569,,9724.7719,146.56045,45.15,11.978,10708.69245,,,20650.37285,17688.4242,2961.94865,,,,83652.1779,5191.93855,31086.5599,18847.20505,23039.7142,434.2939,,881.11575,,4171.35055,99636.79005,2991.72945,72511.98175,19.31,1596.928,1434.8887,,19540.35885,,1541.5933,459093.43309,398383.00034,,15826.25065,,510.65575,44373.52635,,
18,ag,498035.0,6553.0,3954.0,5687.0,63.0,1991,1779477.29618,34652.23331,316.6367,34335.59661,,,44358.73415,5067.25365,,,14902.201,14235.99565,10153.28385,,77395.60675,25040.08775,12636.7754,38003.1624,,,3.6,,1711.9812,11455.0233,393.20725,1670.22065,10.9581,9380.6373,,,201190.90645,197055.80215,433.48755,3261.6356,,439.98115,83772.26186,,4.6168,40875.32775,1200.4634,,114.576,41577.27791,,,21257.68344,19986.82744,1270.856,,,,138252.70505,1172.711,98581.9702,28965.3493,633.7965,3.844,,5376.51565,,3518.5184,92495.03184,18318.47815,51725.7191,945.0063,150.4897,56.7286,,15299.1713,,5999.43869,1074647.11003,912436.0,,53923.77,,27300.83685,80986.50318,,
19,tg,206320.0,3065.0,1829.0,2096.0,890.0,1991,708208.68782,14497.5564,241.6304,14255.926,,,21034.67914,374.33499,,,4842.31925,8993.48165,6824.54325,,89990.17995,62414.0114,12022.2178,13625.85885,,,1756.222,,171.8699,6057.86175,350.3752,263.3735,17.0,5427.11305,,,13169.55965,9763.11115,236.0745,3005.17175,,165.20225,35017.49121,1396.6273,,9875.2728,396.1131,114.37,316.5126,22918.59541,,,11020.90379,9645.36474,1371.03905,4.5,,,39951.7413,,26093.12705,7412.12315,5301.3837,35.178,,823.0561,,286.8733,6425.8401,3.489,4055.56325,7.65,94.0,93.89995,,2135.2379,,36.0,471042.87453,400770.0,,6500.5221,,47285.5324,16486.82003,,
20,ti,286744.0,2898.0,2635.0,2248.0,745.0,1991,1363273.11504,24149.43955,35.25195,24114.1876,,,21355.86902,5495.718,2.8769,,9456.12952,107.40955,6293.73505,,51508.3636,47143.1781,1843.0,2480.4055,,27.0,,,14.78,10073.4717,1365.54805,3768.041,61.5571,4878.32555,,,272131.91945,270360.1433,830.0,540.1608,,401.61535,22901.6362,,537.28,16200.95935,3251.79285,1247.52965,1447.83005,216.2443,,,28866.2821,28757.0301,,109.252,,,89292.66436,6599.2502,58966.11336,9460.0875,11207.0,200.0,,1565.49185,,1294.72145,38833.7418,3066.1,15188.9659,,24.99,215.495,,20330.1909,,8.0,804159.72726,713878.38578,,21910.258,,35939.2142,32431.86928,,
21,vd,577524.0,8186.0,5482.0,5696.0,1382.0,1991,2525337.7891,47702.23753,703.61961,46998.61792,,,86560.75283,24039.81179,,972.05684,20896.9093,14129.55835,26522.41655,,127753.47508,87776.76345,3686.02565,36220.37233,,41.0,,,29.31365,40771.822,2817.2052,14052.01045,34.153,23868.45335,,,246523.59013,238673.865,,4269.38743,,3580.3377,33095.26705,247.3287,11.055,4900.5438,4005.90365,33.08025,20994.93295,2902.4227,,,51060.1479,49849.80385,334.85955,875.4845,,,174964.64022,20051.7151,134373.32699,6230.561,3628.03395,,,10097.48498,,583.5182,98628.88301,55.9067,46554.21757,,22.0084,602.5198,,51182.09629,,212.13425,1618276.97335,1458802.31011,,1001.0,,48413.0149,110060.64834,,
22,vs,251962.0,3561.0,1962.0,4198.0,-29.0,1991,1257604.99978,11339.74865,133.8359,11205.91275,,,25689.95282,4648.25465,0.54,,5341.76872,6774.55635,8924.8331,,22637.04205,18958.6248,3057.4925,128.21535,170.8966,142.022,145.928,,33.8628,19098.7969,729.86975,8338.4272,330.3171,9700.18285,,,291121.99581,288885.24438,2.4,24.1135,,2210.23793,16069.74635,,12.655,6426.16905,640.44355,,55.0055,8935.47325,,,40144.98704,32439.57234,3132.5139,4572.9008,,,175353.29185,14348.7792,77961.93835,18294.5935,61667.5222,,,1201.0676,,1879.391,68080.03266,10911.82865,8844.45865,16.1,162.3165,1123.0,,43587.55996,,3434.7689,588069.40565,533502.03147,,17241.042,,11087.6035,26238.72868,,
